modelo;tipo_grade;N;execucao;voxel_size;nx;ny;nz;total;occupied;empty;density;octree_nodes;leaves_full;leaves_empty;max_depth;t_oct;delta_rss_oct;compression
Armadillo;Justa;25;1;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00244;0,44;0,4466
Armadillo;Justa;25;2;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00223;0,39;0,4466
Armadillo;Justa;25;3;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00388;0,34;0,4466
Armadillo;Justa;25;4;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00234;0,38;0,4466
Armadillo;Justa;25;5;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00205;0,32;0,4466
Armadillo;Justa;25;6;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00270;0,43;0,4466
Armadillo;Justa;25;7;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00311;0,57;0,4466
Armadillo;Justa;25;8;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00370;0,40;0,4466
Armadillo;Justa;25;9;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00194;0,30;0,4466
Armadillo;Justa;25;10;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00291;0,36;0,4466
Armadillo;Justa;50;1;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00812;1,42;0,2426
Armadillo;Justa;50;2;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00842;1,33;0,2426
Armadillo;Justa;50;3;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00824;1,59;0,2426
Armadillo;Justa;50;4;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00776;1,34;0,2426
Armadillo;Justa;50;5;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00831;1,59;0,2426
Armadillo;Justa;50;6;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00830;1,35;0,2426
Armadillo;Justa;50;7;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00798;1,46;0,2426
Armadillo;Justa;50;8;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00829;1,58;0,2426
Armadillo;Justa;50;9;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00847;1,47;0,2426
Armadillo;Justa;50;10;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00840;1,46;0,2426
Armadillo;Justa;100;1;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03494;6,08;0,1323
Armadillo;Justa;100;2;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03555;6,29;0,1323
Armadillo;Justa;100;3;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03320;6,28;0,1323
Armadillo;Justa;100;4;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03606;6,25;0,1323
Armadillo;Justa;100;5;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03346;6,24;0,1323
Armadillo;Justa;100;6;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03319;6,28;0,1323
Armadillo;Justa;100;7;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03655;6,26;0,1323
Armadillo;Justa;100;8;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03446;6,21;0,1323
Armadillo;Justa;100;9;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03386;6,23;0,1323
Armadillo;Justa;100;10;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03452;6,22;0,1323
Armadillo;Justa;200;1;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,13810;24,55;0,0691
Armadillo;Justa;200;2;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,13473;26,03;0,0691
Armadillo;Justa;200;3;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,13576;25,85;0,0691
Armadillo;Justa;200;4;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,14910;25,81;0,0691
Armadillo;Justa;200;5;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,13482;25,88;0,0691
Armadillo;Justa;200;6;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,13538;25,75;0,0691
Armadillo;Justa;200;7;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,13427;25,91;0,0691
Armadillo;Justa;200;8;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,14801;25,75;0,0691
Armadillo;Justa;200;9;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,13595;25,81;0,0691
Armadillo;Justa;200;10;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,13447;25,79;0,0691
Armadillo;Justa;400;1;0,3783;337;401;307;41487059;351913;41135146;0,0085;1447689;280117;986611;9;0,63366;103,74;0,0349
Armadillo;Justa;400;2;0,3783;337;401;307;41487059;351913;41135146;0,0085;1447689;280117;986611;9;0,54640;105,30;0,0349
Armadillo;Justa;400;3;0,3783;337;401;307;41487059;351913;41135146;0,0085;1447689;280117;986611;9;0,55497;105,12;0,0349
Armadillo;Justa;400;4;0,3783;337;401;307;41487059;351913;41135146;0,0085;1447689;280117;986611;9;0,59751;105,22;0,0349
Armadillo;Justa;400;5;0,3783;337;401;307;41487059;351913;41135146;0,0085;1447689;280117;986611;9;1,58766;105,51;0,0349
Armadillo;Justa;400;6;0,3783;337;401;307;41487059;351913;41135146;0,0085;1447689;280117;986611;9;0,54657;105,57;0,0349
