modelo;tipo_grade;N;execucao;voxel_size;nx;ny;nz;total;occupied;empty;density;t_vox;delta_rss_vox;octree_nodes;leaves_full;leaves_empty;max_depth;t_oct;delta_rss_oct;compression
Armadillo;Justa;25;1;6,0529;21;26;21;11466;1418;10048;0,1237;0,140;0,67;5121;1070;3411;5;0,009;0,01;0,4466
Armadillo;Justa;25;2;6,0529;21;26;21;11466;1418;10048;0,1237;0,140;0,67;5121;1070;3411;5;0,009;0,00;0,4466
Armadillo;Justa;25;3;6,0529;21;26;21;11466;1418;10048;0,1237;0,140;0,67;5121;1070;3411;5;0,009;0,00;0,4466
Armadillo;Justa;25;4;6,0529;21;26;21;11466;1418;10048;0,1237;0,140;0,67;5121;1070;3411;5;0,009;0,00;0,4466
Armadillo;Justa;25;5;6,0529;21;26;21;11466;1418;10048;0,1237;0,140;0,67;5121;1070;3411;5;0,009;0,00;0,4466
Armadillo;Justa;25;6;6,0529;21;26;21;11466;1418;10048;0,1237;0,140;0,67;5121;1070;3411;5;0,008;0,00;0,4466
Armadillo;Justa;25;7;6,0529;21;26;21;11466;1418;10048;0,1237;0,140;0,67;5121;1070;3411;5;0,009;0,00;0,4466
Armadillo;Justa;25;8;6,0529;21;26;21;11466;1418;10048;0,1237;0,140;0,67;5121;1070;3411;5;0,009;0,00;0,4466
Armadillo;Justa;25;9;6,0529;21;26;21;11466;1418;10048;0,1237;0,140;0,67;5121;1070;3411;5;0,009;0,00;0,4466
Armadillo;Justa;25;10;6,0529;21;26;21;11466;1418;10048;0,1237;0,140;0,67;5121;1070;3411;5;0,009;0,00;0,4466
Armadillo;Cubica;25;1;6,0529;25;25;25;15625;1407;14218;0,0900;0,140;0,67;4561;1117;2874;5;0,006;0,00;0,2919
Armadillo;Cubica;25;2;6,0529;25;25;25;15625;1407;14218;0,0900;0,140;0,67;4561;1117;2874;5;0,006;0,00;0,2919
Armadillo;Cubica;25;3;6,0529;25;25;25;15625;1407;14218;0,0900;0,140;0,67;4561;1117;2874;5;0,005;0,00;0,2919
Armadillo;Cubica;25;4;6,0529;25;25;25;15625;1407;14218;0,0900;0,140;0,67;4561;1117;2874;5;0,008;0,00;0,2919
Armadillo;Cubica;25;5;6,0529;25;25;25;15625;1407;14218;0,0900;0,140;0,67;4561;1117;2874;5;0,006;0,00;0,2919
Armadillo;Cubica;25;6;6,0529;25;25;25;15625;1407;14218;0,0900;0,140;0,67;4561;1117;2874;5;0,007;0,00;0,2919
Armadillo;Cubica;25;7;6,0529;25;25;25;15625;1407;14218;0,0900;0,140;0,67;4561;1117;2874;5;0,006;0,00;0,2919
Armadillo;Cubica;25;8;6,0529;25;25;25;15625;1407;14218;0,0900;0,140;0,67;4561;1117;2874;5;0,007;0,00;0,2919
Armadillo;Cubica;25;9;6,0529;25;25;25;15625;1407;14218;0,0900;0,140;0,67;4561;1117;2874;5;0,006;0,00;0,2919
Armadillo;Cubica;25;10;6,0529;25;25;25;15625;1407;14218;0,0900;0,140;0,67;4561;1117;2874;5;0,006;0,00;0,2919
Armadillo;Justa;50;1;3,0264;43;51;39;85527;5789;79738;0,0677;0,156;0,16;20753;4362;13797;6;0,086;3,01;0,2426
Armadillo;Justa;50;2;3,0264;43;51;39;85527;5789;79738;0,0677;0,156;0,16;20753;4362;13797;6;0,040;1,00;0,2426
Armadillo;Justa;50;3;3,0264;43;51;39;85527;5789;79738;0,0677;0,156;0,16;20753;4362;13797;6;0,038;0,37;0,2426
